ろくがつ	六月	June	vocabulary	ろくがつ, 六: ろく: on, 月: がつ: on	noun
むいか	六日	Sixth Day	vocabulary	むいか,  六: むい: kun, 日: か: kun	noun
じゅうろく	十六	Sixteen	vocabulary	じゅうろく, 十: じゅう: on, 六: ろく: on	numeral
ろく	六	Six	vocabulary	ろく, 六: ろく: on	numeral
えん	〜円	Money	vocabulary	えん, 円: えん: on	noun, suffix
せんえん	千円	One Thousand Yen	vocabulary	せんえん, 千: せん: on, 円: えん: on	noun
まるい	円い	Round	vocabulary	まるい, 円: まる: kun	い adjective
て	手	Hand	vocabulary	て, 手: て: kun	noun
じょうず	上手	Good At	vocabulary	じょうず, 上: じょう: on, 手: ず: on	noun, な adjective
つき	月	Moon	vocabulary	つき, 月: つき: kun	noun
じゅうがつ	十月	October	vocabulary	じゅうがつ, 十: じゅう: on, 月: がつ: on	noun
いちがつ	一月	January	vocabulary	いちがつ, 一: いち: on, 月: がつ: on	noun
にがつ	二月	February	vocabulary	にがつ, 二: に: on, 月: がつ: on	noun
き	木	Tree	vocabulary	き, 木: き: kun	noun
いぬ	犬	Dog	vocabulary	いぬ, 犬: いぬ: kun	noun
こいぬ	子犬	Puppy	vocabulary	こいぬ, 子: こ: kun, 犬: いぬ: kun	noun
おう	王	King	vocabulary	おう, 王: おう: on	noun, suffix
だす	出す	To Take Out	vocabulary	だす, 出: だ: kun	transitive verb, godan verb
でぐち	出口	Exit	vocabulary	でぐち, 出: で: kun, 口: ぐ: on	noun
みぎ	右	Right Direction	vocabulary	みぎ, 右: みぎ: kun	noun
よん	四	Four	vocabulary	よん, 四: よん: kun, &emsp;し, 四: し: on	numeral
ひだり	左	Left Direction	vocabulary	ひだり, 左: ひだり: kun	noun, の adjective
にほん	日本	Japan	vocabulary	にほん, に: on, 本: ほん: on, &emsp;にっぽん, にっ: on, 本: ぽん: on	proper noun
たま	玉	Ball	vocabulary	たま, 玉: たま: kun	noun
しろ	白	White	vocabulary	しろ, 白: しろ: kun	noun
め	目	Eye	vocabulary	め, 目: め: kun	noun
めだま	目玉	Eyeball	vocabulary	めだま, 目: め: kun, 玉: だま: kun	noun
たつ	立つ	To Stand	vocabulary	たつ, 立: た: kun	intransitive verb, godan verb
